customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,after_call_entropy,before_money_sent_normed,after_mean_balance,after_cashin_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga
63,3.9066,45.1,170.25,150.0,4.2115,1990.3333333333333,2367.111111111112,24.83333333333333,15.2,82.3,38.58,0.5,2.13,0,0,0,0,0
154,2.934,12.12,229.0,234.0,4.2079,455.6818181818182,23626.877551020407,1705.619718309859,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
325,2.5588,4.81,381.0,413.0,1.9136,57.77777777777778,10626.76923076923,441.8345588235294,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
239,3.6926,13.36,329.5,346.0,4.2335,2706.375,10702.430769230768,6547.978102189781,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
819,3.1494,53.44,299.67,374.0,3.6583,350.4201680672269,0.0,0.2183098591549295,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
413,3.911,33.47,141.5,76.0,4.1013,4253.885714285714,5167.2972972972975,645.2247191011236,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
472,1.9427,79.41,141.5,80.0,2.3726,96.96132596685082,16956.03448275862,373.8317757009346,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0
127,3.8484,11.17,178.0,179.0,2.0382,,16544.84375,470.43030303030304,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0
6,3.0152,48.82,176.0,156.0,2.9516,3273.214285714286,236.5,0.9833333333333332,,,,0.75,0.7,0,0,0,0,0
1091,2.8714,41.78,63.75,69.0,3.1177,297.6442953020134,2273.230769230769,66.27011494252874,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0
390,3.2719,77.89,249.42,268.0,4.157,,7318.294117647059,408.4789473684211,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
1137,3.081,39.2,356.29,388.0,2.9438,3063.471502590673,49564.11320754717,4396.73125,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
1054,3.7104,38.36,8.5,9.0,1.8587,5634.79381443299,9586.204081632652,1610.591463414634,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
613,2.757,91.27,237.5,302.0,2.8064,444.1015625,2290.0,37.64233576642336,8.6,85.6,40.74,0.5,1.74,0,1,0,0,0
558,4.5738,0.88,202.67,135.0,4.4894,2615760.8695652173,71579.62068965517,4113.252525252526,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
377,3.5363,9.57,153.25,118.0,3.784,1507.142857142857,3318.9473684210525,51.42051282051282,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
554,4.2198,79.37,341.5,340.0,4.2892,542.1904761904761,5362.4,0.1981132075471698,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
463,2.696,30.71,356.29,356.0,2.7552,2166.0130718954247,1055.5,35.213793103448275,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0
835,3.3286,90.1,290.6,225.0,3.4192,39964.81481481482,2621.583333333333,1.276470588235294,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
1012,3.3115,27.21,392.0,397.0,3.7299,242369.820083682,66619.14285714286,3484.089285714286,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0
657,3.775,11.95,334.67,218.0,4.3196,1872.3809523809523,43669.59154929577,3670.5238095238096,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
758,4.4273,56.06,8.5,9.0,2.5866,0.2923976608187134,11319.3,459.35833333333335,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0
279,4.3207,22.49,229.0,260.0,3.2492,1640.8394495412845,8836.375,141.31690140845072,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
650,3.6464,31.01,53.67,46.0,3.6569,5278.760330578512,3502.333333333333,28.07692307692308,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0
330,3.9291,66.67,49.75,68.0,4.1632,1614.0862944162436,32078.97520661157,9176.263803680982,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
702,4.033,29.39,281.0,332.0,3.4144,48947.6387434555,3885.952941176471,1314.5986394557824,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0
723,3.0682,71.95,77.6,66.0,3.6921,277918.8888888889,2686.0,116.6923076923077,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0
913,2.8676,72.55,141.5,80.0,3.9702,,3582.758620689656,135.2657004830918,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0
648,3.6825,39.04,144.83,142.0,3.8366,2501.5625,6297.533333333334,315.27878787878785,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0
