customer_id,before_call_entropy,before_perc_of_calls_to_dar,before_calls_to_dar_ward_rank,before_calls_to_dar_subward_rank,before_money_sent_normed,region_education,region_immunization_measles,region_antenatal_visits,region_parliament_female_male_ratio,region_population_millions,region_manyara,region_mara,region_pwani,region_ruvuma,region_shinyanga,binary_dv
1077,4.2929,38.79,77.6,53.0,2237.0298507462685,15.2,82.3,38.58,0.5,2.13,0,0,0,0,0,0
70,3.7746,11.54,229.0,324.0,738.9447236180905,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,1
891,3.62,50.38,392.0,362.0,893.4782608695652,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
845,3.809,75.57,202.67,136.0,763.1472081218274,13.1,93.2,39.66,0.5,1.37,0,0,0,0,0,0
37,3.2591,47.48,250.12,254.0,1017.1875,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
273,3.1402,47.89,229.0,260.0,116.46341463414636,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,1
486,2.4007,87.5,230.33,231.0,987.7952755905512,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,1
1040,2.7929,80.0,299.67,286.0,20712.5,,,,,,0,0,0,0,0,0
269,3.2084,23.53,107.6,115.0,4393.803418803419,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
1082,2.6861,72.34,20.5,40.0,5968.811881188119,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
1127,3.8929,74.81,57.4,34.0,449.4660194174757,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
17,3.4179,11.2,72.14,81.0,6228.34375,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
1007,3.7117,2.52,53.67,29.0,13493.244897959185,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,1
633,3.3987,27.27,195.67,247.0,1385.054347826087,19.6,86.7,39.82,0.38,2.77,0,0,0,0,0,0
1087,4.8962,11.78,356.29,267.0,8888.587982832618,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
309,,,,,0.0,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
546,3.2651,1.29,93.75,43.0,9.92063492063492,8.6,85.6,40.74,0.5,1.74,0,1,0,0,0,0
79,2.9807,72.8,277.0,248.0,638.7850467289719,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
765,3.4029,56.14,176.0,201.0,306.25,11.8,93.3,38.82,0.33,0.94,0,0,0,0,0,0
911,1.9533,78.79,202.67,211.0,786.5269461077844,13.1,93.2,39.66,0.5,1.37,0,0,0,0,0,1
612,3.2862,14.35,230.33,231.0,1886.945945945946,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
156,4.3918,30.08,178.0,179.0,3490.7894736842104,19.4,70.0,33.42,0.33,1.53,0,0,0,0,1,0
560,3.5773,7.73,255.57,243.0,11464.529914529914,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
897,,,,,0.0,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0,1
186,2.8542,53.15,170.25,150.0,1040.5172413793102,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
693,3.0836,29.63,170.25,150.0,711.8279569892474,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
202,3.6092,76.6,193.2,180.0,3293.246511627907,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
713,3.9374,5.2,106.2,143.0,1037.0661157024792,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,0
49,1.3252,97.5,52.67,63.0,1293.3333333333333,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,1
591,4.2295,14.26,141.5,80.0,5802.942196531792,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
839,2.7492,75.48,250.12,308.0,137.67123287671234,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
1168,4.2008,81.3,329.5,342.0,0.8064516129032258,19.4,70.0,33.42,0.33,1.53,0,0,0,0,1,0
9,1.6434,66.67,230.33,208.0,0.0,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0,1
118,3.2341,33.71,418.25,436.0,286.7132867132867,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,1
1085,3.5474,21.12,249.42,290.0,1105.9641255605382,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
680,3.1537,32.39,307.5,324.0,332.03125,18.3,83.4,39.72,0.6,0.86,0,0,0,0,0,1
1066,3.9065,32.03,106.2,45.0,3935.2350230414745,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
641,3.2192,43.33,36.0,71.0,38562.5,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
340,2.9018,18.05,277.0,253.0,15875.883248730965,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
189,3.9003,12.27,361.67,371.0,7523.333333333333,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
946,2.9092,23.33,202.67,136.0,367.9411764705882,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
1021,2.2471,82.61,356.29,388.0,1864.383561643836,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
1081,3.2066,48.81,176.0,138.0,1802.4038461538464,18.2,97.1,46.49,0.75,2.46,0,0,0,0,0,0
21,3.561,42.65,356.29,156.0,2491.530054644809,15.7,94.0,45.52,1.2,1.27,0,0,0,0,0,1
179,2.3513,88.89,170.25,62.0,117.01030927835052,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,1
972,3.1648,93.39,106.2,45.0,11722.457627118643,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
1102,3.5779,76.37,229.0,260.0,499.5192307692308,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,1
548,3.8604,24.57,399.2,409.0,3.807106598984772,15.1,84.8,40.63,0.3,2.05,0,0,0,0,0,1
738,3.0404,83.65,137.0,113.0,1304.6875,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
211,3.1766,50.94,250.12,132.0,1095.4545454545455,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,1
102,3.0516,78.73,260.25,322.0,3845.4545454545455,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,1
1123,1.9518,53.85,361.67,371.0,591.9075144508671,17.3,85.0,49.14,0.49,1.3,0,0,0,0,0,1
867,3.5816,61.71,356.29,305.0,12393.366666666669,8.3,91.3,46.53,0.75,1.38,0,0,0,1,0,1
1060,3.7556,71.88,260.25,237.0,890.6832298136646,19.2,77.0,21.21,0.0,1.0,0,0,0,0,0,0
113,4.2591,40.18,72.14,105.0,1791.121951219512,17.8,84.8,41.46,0.5,2.08,0,0,0,0,0,0
999,3.7105,76.67,52.67,44.0,1072.0833333333333,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
780,4.1246,41.67,237.5,197.0,,16.8,91.4,52.21,0.38,1.69,0,0,0,0,0,0
1045,3.7901,24.4,290.6,192.0,1106.4356435643565,20.4,92.2,63.64,0.8,1.1,0,0,1,0,0,0
410,,,,,0.0,18.6,92.4,50.9,0.67,2.22,0,0,0,0,0,0
104,4.3517,62.05,277.0,136.0,9878.83597883598,18.1,83.3,22.44,0.25,2.71,0,0,0,0,0,0
822,2.7456,76.85,230.33,208.0,9246.42857142857,8.4,96.9,61.11,0.88,1.64,0,0,0,0,0,0
